playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,starter,decision,shotsAgainst,saves,firstName,lastName,Team,gameId,homeRoadFlag
8475683,72,"{'default': 'S. Bobrovsky', 'cs': 'S. Bobrovskij', 'fi': 'S. Bobrovski', 'sk': 'S. Bobrovskij'}",G,20/22,6/6,1/1,27/29,0.931034,2,0,0,0,2,64:03,True,O,29,27,Sergei,Bobrovsky,FLA,2025020429,1
8478406,39,{'default': 'M. Blackwood'},G,26/30,8/9,2/2,36/41,0.878049,4,1,0,0,5,57:37,True,L,41,36,Mackenzie,Blackwood,COL,2025020430,0
8478009,30,{'default': 'I. Sorokin'},G,32/35,3/3,0/0,35/38,0.921053,3,0,0,0,3,60:00,True,W,38,35,Ilya,Sorokin,NYI,2025020430,1
8479361,60,{'default': 'J. Woll'},G,20/21,3/3,0/0,23/24,0.958333,1,0,0,0,1,40:00,True,W,24,23,Joseph,Woll,TOR,2025020431,0
8475883,31,{'default': 'F. Andersen'},G,15/19,4/4,0/0,19/23,0.826087,4,0,0,0,4,57:23,True,L,23,19,Frederik,Andersen,CAR,2025020431,1
8475660,39,{'default': 'C. Talbot'},G,24/27,3/5,0/0,27/32,0.84375,3,2,0,0,5,65:00,True,O,32,27,Cam,Talbot,DET,2025020432,0
8478007,90,{'default': 'E. Merzlikins'},G,19/21,8/11,1/1,28/33,0.848485,2,3,0,0,5,63:36,True,W,33,28,Elvis,Merzlikins,CBJ,2025020432,1
8479406,32,{'default': 'F. Gustavsson'},G,25/28,0/0,2/2,27/30,0.9,3,0,0,0,3,57:20,True,L,30,27,Filip,Gustavsson,MIN,2025020433,0
8481692,32,{'default': 'D. Wolf'},G,20/21,6/6,0/0,26/27,0.962963,1,0,0,0,1,60:00,True,W,27,26,Dustin,Wolf,CGY,2025020433,1
8478916,35,{'default': 'J. Daccord'},G,8/10,1/3,0/1,9/14,0.642857,2,2,1,0,5,25:58,True,L,14,9,Joey,Daccord,SEA,2025020434,0
8475717,30,{'default': 'C. Pickard'},G,26/29,2/3,0/0,28/32,0.875,3,1,0,0,4,60:00,True,W,32,28,Calvin,Pickard,EDM,2025020434,1
8481519,30,{'default': 'S. Knight'},G,21/22,4/4,1/1,26/27,0.962963,1,0,0,0,1,59:51,True,W,27,26,Spencer,Knight,CHI,2025020435,0
