teamAbbrev,HomeFlag,firstName,lastName,ExpectedSOG,AvgShotsSznByLoc,LastFiveAvgShots,LastTenAvgShots,Opponent,RankAvgShotsAgainst,GoalieLastName,avgshotsvsOppAtLoc,AvgShotsAgainstThisOpp,SeasonAvgSOG,playerId,RankAvgGoalsAgainst,RankAvgSavePctg,lastfivemargin,locationmargin,combinedmargin
FLA,0,Evan,Rodrigues,1.0,2.0,1.6,0.8,NJD,20.83,Allen,0.0,0.0,1.6,8478542,7.5,93.33,0.6000000000000001,1.0,1.6
FLA,0,Jesper,Boqvist,1.0,1.0,1.0,0.5,NJD,20.83,Allen,0.0,0.0,1.0,8480003,7.5,93.33,0.0,0.0,0.0
FLA,0,Eetu,Luostarinen,1.0,0.5,0.8,0.4,NJD,20.83,Allen,0.0,0.0,0.8,8480185,7.5,93.33,-0.19999999999999996,-0.5,-0.7
FLA,0,Anton,Lundell,2.0,3.0,3.0,1.5,NJD,20.83,Allen,0.0,0.0,3.0,8482113,7.5,93.33,1.0,1.0,2.0
FLA,0,Mackie,Samoskevich,1.5,0.5,1.6,0.8,NJD,20.83,Allen,0.0,0.0,1.6,8482713,7.5,93.33,0.10000000000000009,-1.0,-0.8999999999999999
EDM,0,Leon,Draisaitl,2.0,1.0,1.8,0.9,NYI,50.0,Sorokin,0.0,0.0,3.0,8477934,85.83,19.17,-0.19999999999999996,-1.0,-1.2
EDM,0,Connor,McDavid,3.0,2.0,2.0,1.0,NYI,50.0,Sorokin,0.0,0.0,3.33,8478402,85.83,19.17,-1.0,-1.0,-2.0
EDM,0,Vasily,Podkolzin,1.0,0.0,0.8,0.4,NYI,50.0,Sorokin,0.0,0.0,1.33,8481617,85.83,19.17,-0.19999999999999996,-1.0,-1.2
EDM,0,David,Tomasek,3.0,2.0,1.8,0.9,NYI,50.0,Sorokin,0.0,0.0,3.0,8485493,85.83,19.17,-1.2,-1.0,-2.2
SEA,0,Mason,Marchment,1.0,0.0,0.6,0.3,OTT,34.58,Meriläinen,0.0,0.0,1.0,8478975,99.58,1.67,-0.4,-1.0,-1.4
SEA,0,Matty,Beniers,2.0,2.0,1.2,0.6,OTT,34.58,Meriläinen,0.0,0.0,2.0,8482665,99.58,1.67,-0.8,0.0,-0.8
NSH,0,Steven,Stamkos,2.0,2.0,1.6,0.8,MTL,23.75,Dobes,0.0,0.0,2.0,8474564,7.5,99.17,-0.3999999999999999,0.0,-0.3999999999999999
NSH,0,Ryan,O'Reilly,1.0,0.5,0.8,0.4,MTL,23.75,Dobes,0.0,0.0,1.0,8475158,7.5,99.17,-0.19999999999999996,-0.5,-0.7
NSH,0,Erik,Haula,1.0,0.5,1.0,0.5,MTL,23.75,Dobes,0.0,0.0,1.25,8475287,7.5,99.17,0.0,-0.5,-0.5
NSH,0,Brady,Skjei,1.0,2.0,1.6,0.8,MTL,23.75,Dobes,0.0,0.0,2.0,8476869,7.5,99.17,0.6000000000000001,1.0,1.6
NSH,0,Filip,Forsberg,3.0,3.0,2.8,1.4,MTL,23.75,Dobes,0.0,0.0,3.5,8476887,7.5,99.17,-0.20000000000000018,0.0,-0.20000000000000018
NSH,0,Nick,Perbix,1.0,1.0,0.6,0.3,MTL,23.75,Dobes,0.0,0.0,0.75,8480246,7.5,99.17,-0.4,0.0,-0.4
WPG,0,Mark,Scheifele,3.0,4.0,1.6,0.8,PHI,85.83,Ersson,0.0,0.0,2.67,8476460,85.83,50.83,-1.4,1.0,-0.3999999999999999
WPG,0,Alex,Iafallo,1.0,0.0,0.6,0.3,PHI,85.83,Ersson,0.0,0.0,1.0,8480113,85.83,50.83,-0.4,-1.0,-1.4
NJD,1,Ondrej,Palat,1.0,,0.6,0.3,FLA,11.67,Tarasov,0.0,0.0,1.0,8476292,52.08,15.83,-0.4,,
NJD,1,Dawson,Mercer,2.0,,1.2,0.6,FLA,11.67,Tarasov,0.0,0.0,2.0,8482110,52.08,15.83,-0.8,,
ANA,1,Alex,Killorn,4.0,1.0,2.4,1.2,CAR,5.0,Bussi,0.0,0.0,4.0,8473986,7.5,89.17,-1.6,-3.0,-4.6
ANA,1,Cutter,Gauthier,5.0,2.0,3.2,1.6,CAR,5.0,Bussi,0.0,0.0,5.33,8483445,7.5,89.17,-1.7999999999999998,-3.0,-4.8
TOR,1,Calle,Jarnkrok,2.0,2.0,1.4,0.7,NYR,30.83,Quick,0.0,0.0,1.75,8475714,7.5,92.5,-0.6000000000000001,0.0,-0.6000000000000001
TOR,1,Morgan,Rielly,2.0,3.33,2.4,1.2,NYR,30.83,Quick,0.0,0.0,3.0,8476853,7.5,92.5,0.3999999999999999,1.33,1.73
TOR,1,William,Nylander,2.0,2.33,1.4,0.7,NYR,30.83,Quick,0.0,0.0,1.75,8477939,7.5,92.5,-0.6000000000000001,0.33000000000000007,-0.27
TOR,1,Nicolas,Roy,1.0,0.33,1.0,0.5,NYR,30.83,Quick,0.0,0.0,1.25,8478462,7.5,92.5,0.0,-0.6699999999999999,-0.6699999999999999
TOR,1,Auston,Matthews,5.5,4.67,4.0,2.0,NYR,30.83,Quick,0.0,0.0,5.0,8479318,7.5,92.5,-1.5,-0.8300000000000001,-2.33
TOR,1,Bobby,McMann,2.5,3.33,2.0,1.0,NYR,30.83,Quick,0.0,0.0,2.5,8482259,7.5,92.5,-0.5,0.8300000000000001,0.33000000000000007
PIT,0,Evgeni,Malkin,3.0,2.0,1.8,0.9,LAK,54.58,Forsberg,0.0,0.0,2.25,8471215,96.67,20.83,-1.2,-1.0,-2.2
PIT,0,Sidney,Crosby,2.0,2.5,1.4,0.7,LAK,54.58,Forsberg,0.0,0.0,1.75,8471675,96.67,20.83,-0.6000000000000001,0.5,-0.10000000000000009
PIT,0,Kris,Letang,1.0,0.5,1.0,0.5,LAK,54.58,Forsberg,0.0,0.0,1.25,8471724,96.67,20.83,0.0,-0.5,-0.5
PIT,0,Anthony,Mantha,1.0,2.0,1.0,0.5,LAK,54.58,Forsberg,0.0,0.0,1.25,8477511,96.67,20.83,0.0,1.0,1.0
PIT,0,Parker,Wotherspoon,1.0,0.0,0.6,0.3,LAK,54.58,Forsberg,0.0,0.0,0.75,8478450,96.67,20.83,-0.4,-1.0,-1.4
PIT,0,Justin,Brazeau,2.0,4.0,2.0,1.0,LAK,54.58,Forsberg,0.0,0.0,2.5,8479638,96.67,20.83,0.0,2.0,2.0
PIT,0,Connor,Dewar,1.0,0.5,1.0,0.5,LAK,54.58,Forsberg,0.0,0.0,1.25,8480980,96.67,20.83,0.0,-0.5,-0.5
PIT,0,Harrison,Brunicke,1.0,1.0,0.8,0.4,LAK,54.58,Forsberg,0.0,0.0,1.0,8484839,96.67,20.83,-0.19999999999999996,0.0,-0.19999999999999996
NYR,0,Sam,Carrick,2.5,2.0,2.0,1.0,TOR,47.08,Primeau,0.0,0.0,2.0,8475842,85.83,25.83,-0.5,-0.5,-1.0
NYR,0,Mika,Zibanejad,3.5,2.5,4.4,2.2,TOR,47.08,Primeau,0.0,0.0,4.4,8476459,85.83,25.83,0.9000000000000004,-1.0,-0.09999999999999964
NYR,0,J.T.,Miller,1.5,1.5,1.6,0.8,TOR,47.08,Primeau,0.0,0.0,1.6,8476468,85.83,25.83,0.10000000000000009,0.0,0.10000000000000009
NYR,0,Carson,Soucy,1.0,1.0,0.6,0.3,TOR,47.08,Primeau,0.0,0.0,0.6,8477369,85.83,25.83,-0.4,0.0,-0.4
NYR,0,Artemi,Panarin,2.0,1.5,2.2,1.1,TOR,47.08,Primeau,0.0,0.0,2.2,8478550,85.83,25.83,0.20000000000000018,-0.5,-0.2999999999999998
NYR,0,Vladislav,Gavrikov,1.0,1.5,1.2,0.6,TOR,47.08,Primeau,0.0,0.0,1.2,8478882,85.83,25.83,0.19999999999999996,0.5,0.7
NYR,0,Adam,Fox,2.0,4.0,3.0,1.5,TOR,47.08,Primeau,0.0,0.0,3.0,8479323,85.83,25.83,1.0,2.0,3.0
NYR,0,Taylor,Raddysh,1.0,2.0,1.4,0.7,TOR,47.08,Primeau,0.0,0.0,1.4,8479390,85.83,25.83,0.3999999999999999,1.0,1.4
NYR,0,Urho,Vaakanainen,1.0,0.5,0.8,0.4,TOR,47.08,Primeau,0.0,0.0,0.8,8480001,85.83,25.83,-0.19999999999999996,-0.5,-0.7
NYR,0,Alexis,Lafrenière,4.0,3.0,3.8,1.9,TOR,47.08,Primeau,0.0,0.0,3.8,8482109,85.83,25.83,-0.20000000000000018,-1.0,-1.2000000000000002
NYR,0,Will,Cuylle,2.0,2.5,2.4,1.2,TOR,47.08,Primeau,0.0,0.0,2.4,8482157,85.83,25.83,0.3999999999999999,0.5,0.8999999999999999
NYR,0,Noah,Laba,1.0,1.5,1.0,0.5,TOR,47.08,Primeau,0.0,0.0,1.0,8483690,85.83,25.83,0.0,0.5,0.5
PHI,1,Bobby,Brink,2.0,2.0,1.2,0.6,WPG,91.67,Comrie,0.0,0.0,2.0,8481553,30.83,90.0,-0.8,0.0,-0.8
PHI,1,Tyson,Foerster,2.0,1.0,1.2,0.6,WPG,91.67,Comrie,0.0,0.0,2.0,8482159,30.83,90.0,-0.8,-1.0,-1.8
LAK,1,Anze,Kopitar,1.5,1.0,1.2,0.6,PIT,63.75,Jarry,0.0,0.0,1.5,8471685,72.08,27.08,-0.30000000000000004,-0.5,-0.8
LAK,1,Anze,Kopitar,1.5,1.0,1.2,0.6,PIT,63.75,Silovs,0.0,0.0,1.5,8471685,52.08,52.08,-0.30000000000000004,-0.5,-0.8
LAK,1,Brian,Dumoulin,1.0,1.0,0.6,0.3,PIT,63.75,Jarry,0.0,0.0,0.75,8475208,72.08,27.08,-0.4,0.0,-0.4
LAK,1,Brian,Dumoulin,1.0,1.0,0.6,0.3,PIT,63.75,Silovs,0.0,0.0,0.75,8475208,52.08,52.08,-0.4,0.0,-0.4
LAK,1,Joel,Armia,2.0,1.0,1.6,0.8,PIT,63.75,Jarry,0.0,0.0,2.0,8476469,72.08,27.08,-0.3999999999999999,-1.0,-1.4
LAK,1,Joel,Armia,2.0,1.0,1.6,0.8,PIT,63.75,Silovs,0.0,0.0,2.0,8476469,52.08,52.08,-0.3999999999999999,-1.0,-1.4
LAK,1,Cody,Ceci,1.0,1.0,1.0,0.5,PIT,63.75,Jarry,0.0,0.0,1.25,8476879,72.08,27.08,0.0,0.0,0.0
LAK,1,Cody,Ceci,1.0,1.0,1.0,0.5,PIT,63.75,Silovs,0.0,0.0,1.25,8476879,52.08,52.08,0.0,0.0,0.0
LAK,1,Kevin,Fiala,5.0,3.0,3.2,1.6,PIT,63.75,Jarry,0.0,0.0,4.0,8477942,72.08,27.08,-1.7999999999999998,-2.0,-3.8
LAK,1,Kevin,Fiala,5.0,3.0,3.2,1.6,PIT,63.75,Silovs,0.0,0.0,4.0,8477942,52.08,52.08,-1.7999999999999998,-2.0,-3.8
LAK,1,Adrian,Kempe,5.0,2.0,3.4,1.7,PIT,63.75,Jarry,0.0,0.0,4.25,8477960,72.08,27.08,-1.6,-3.0,-4.6
LAK,1,Adrian,Kempe,5.0,2.0,3.4,1.7,PIT,63.75,Silovs,0.0,0.0,4.25,8477960,52.08,52.08,-1.6,-3.0,-4.6
LAK,1,Alex,Turcotte,1.0,1.0,0.8,0.4,PIT,63.75,Jarry,0.0,0.0,1.0,8481532,72.08,27.08,-0.19999999999999996,0.0,-0.19999999999999996
LAK,1,Alex,Turcotte,1.0,1.0,0.8,0.4,PIT,63.75,Silovs,0.0,0.0,1.0,8481532,52.08,52.08,-0.19999999999999996,0.0,-0.19999999999999996
LAK,1,Andrei,Kuzmenko,2.0,1.0,1.4,0.7,PIT,63.75,Jarry,0.0,0.0,1.75,8483808,72.08,27.08,-0.6000000000000001,-1.0,-1.6
LAK,1,Andrei,Kuzmenko,2.0,1.0,1.4,0.7,PIT,63.75,Silovs,0.0,0.0,1.75,8483808,52.08,52.08,-0.6000000000000001,-1.0,-1.6
CBJ,1,Dmitri,Voronkov,2.0,5.0,1.6,0.8,COL,43.75,Wedgewood,0.0,0.0,2.67,8481716,22.08,75.42,-0.3999999999999999,3.0,2.6
VAN,0,Filip,Hronek,1.0,0.0,0.8,0.4,DAL,94.17,Oettinger,0.0,0.0,1.33,8479425,65.42,49.17,-0.19999999999999996,-1.0,-1.2
VAN,0,Filip,Chytil,3.0,1.0,1.8,0.9,DAL,94.17,Oettinger,0.0,0.0,3.0,8480078,65.42,49.17,-1.2,-2.0,-3.2
VAN,0,Kiefer,Sherwood,2.0,1.0,1.4,0.7,DAL,94.17,Oettinger,0.0,0.0,2.33,8480748,65.42,49.17,-0.6000000000000001,-1.0,-1.6
OTT,1,Lars,Eller,1.0,0.0,0.8,0.4,SEA,59.17,Daccord,0.0,0.0,1.0,8474189,38.75,55.83,-0.19999999999999996,-1.0,-1.2
OTT,1,Nick,Jensen,1.0,1.0,0.8,0.4,SEA,59.17,Daccord,0.0,0.0,1.0,8475324,38.75,55.83,-0.19999999999999996,0.0,-0.19999999999999996
OTT,1,Brady,Tkachuk,3.0,2.0,2.0,1.0,SEA,59.17,Daccord,0.0,0.0,2.5,8480801,38.75,55.83,-1.0,-1.0,-2.0
OTT,1,Dylan,Cozens,3.0,3.0,2.8,1.4,SEA,59.17,Daccord,0.0,0.0,3.5,8481528,38.75,55.83,-0.20000000000000018,0.0,-0.20000000000000018
OTT,1,Shane,Pinto,3.0,2.0,2.4,1.2,SEA,59.17,Daccord,0.0,0.0,3.0,8481596,38.75,55.83,-0.6000000000000001,-1.0,-1.6
OTT,1,Tim,Stützle,3.5,6.0,3.0,1.5,SEA,59.17,Daccord,0.0,0.0,3.75,8482116,38.75,55.83,-0.5,2.5,2.0
OTT,1,Artem,Zub,2.0,2.0,1.8,0.9,SEA,59.17,Daccord,0.0,0.0,2.25,8482245,38.75,55.83,-0.19999999999999996,0.0,-0.19999999999999996
NYI,1,Alexander,Romanov,1.0,1.5,0.6,0.3,EDM,15.0,Pickard,0.0,0.0,1.0,8481014,7.5,85.0,-0.4,0.5,0.09999999999999998
NYI,1,Max,Shabanov,2.0,2.5,1.2,0.6,EDM,15.0,Pickard,0.0,0.0,2.0,8485702,7.5,85.0,-0.8,0.5,-0.30000000000000004
