gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,gamesStarted,decision,shotsAgainst,goalsAgainst,savePctg,shutouts,pim,toi,opponentAbbrev,playerId,firstName,lastName
2023020689,FLA,H,2024-01-17,0,0,{'default': 'Panthers'},{'default': 'Red Wings'},1,O,29,3,0.896552,0,0,60:55,DET,8475683,Sergei,Bobrovsky
2023020656,FLA,H,2024-01-13,0,0,{'default': 'Panthers'},{'default': 'Devils'},1,L,21,3,0.857143,0,0,57:12,NJD,8475683,Sergei,Bobrovsky
2023020641,FLA,H,2024-01-11,0,1,{'default': 'Panthers'},{'default': 'Kings'},1,W,33,2,0.939394,0,0,64:46,LAK,8475683,Sergei,Bobrovsky
2023020606,FLA,R,2024-01-06,0,0,{'default': 'Panthers'},{'default': 'Avalanche'},1,W,26,4,0.846154,0,0,59:42,COL,8475683,Sergei,Bobrovsky
2023020599,FLA,R,2024-01-04,0,0,{'default': 'Panthers'},{'default': 'Golden Knights'},1,W,27,1,0.962963,0,0,59:57,VGK,8475683,Sergei,Bobrovsky
2023020581,FLA,R,2024-01-02,0,0,{'default': 'Panthers'},{'default': 'Coyotes'},1,W,22,1,0.954545,0,0,59:54,ARI,8475683,Sergei,Bobrovsky
2023020674,FLA,H,2024-01-15,0,0,{'default': 'Panthers'},{'default': 'Ducks'},1,O,26,5,0.807692,0,0,60:48,ANA,8476932,Anthony,Stolarz
2023020630,FLA,R,2024-01-09,0,0,{'default': 'Panthers'},{'default': 'Blues'},1,W,30,1,0.966667,0,0,60:00,STL,8476932,Anthony,Stolarz
2023020653,NYR,R,2024-01-13,0,0,{'default': 'Rangers'},{'default': 'Capitals'},1,L,21,3,0.857143,0,0,57:38,WSH,8471734,Jonathan,Quick
2023020610,NYR,R,2024-01-06,0,0,{'default': 'Rangers'},{'default': 'Canadiens'},1,O,30,3,0.9,0,0,65:00,MTL,8471734,Jonathan,Quick
